Protocolo_S2iD,Nome_Municipio,Sigla_UF,regiao,Data_Registro,Data_Evento,Cod_Cobrade,tipologia,descricao_tipologia,grupo_de_desastre,Cod_IBGE_Mun,Setores Censitários,Status,DH_Descricao,DH_MORTOS,DH_FERIDOS,DH_ENFERMOS,DH_DESABRIGADOS,DH_DESALOJADOS,DH_DESAPARECIDOS,DH_AFETADOS_SECA_ESTIAGEM,DH_total_danos_humanos_diretos,DH_OUTROS AFETADOS,DM_Descricao,DM_Uni Habita Danificadas,DM_Uni Habita Destruidas,DM_Uni Habita Valor,DM_Inst Saúde Danificadas,DM_Inst Saúde Destruidas,DM_Inst Saúde Valor,DM_Inst Ensino Danificadas,DM_Inst Ensino Destruidas,DM_Inst Ensino Valor,DM_Inst Serviços Danificadas,DM_Inst Serviços Destruidas,DM_Inst Serviços Valor,DM_Inst Comuni Danificadas,DM_Inst Comuni Destruidas,DM_Inst Comuni Valor,DM_Obras de Infra Danificadas,DM_Obras de Infra Destruidas,DM_Obras de Infra Valor,DM_total_danos_materiais,DA_Descricao,DA_Polui/cont da água,DA_Polui/cont do ar,DA_Polui/cont do solo,DA_Dimi/exauri hídrico,DA_Incêndi parques/APA's/APP's,PEPL_Descricao,PEPL_Assis_méd e emergên(R$),PEPL_Abast de água pot(R$),PEPL_sist de esgotos sanit(R$),PEPL_Sis limp e rec lixo (R$),PEPL_Sis cont pragas (R$),PEPL_distrib energia (R$),PEPL_Telecomunicações (R$),PEPL_Tran loc/reg/l_curso (R$),PEPL_Distrib combustíveis(R$),PEPL_Segurança pública (R$),PEPL_Ensino (R$),PEPL_total_publico,PEPR_Descricao,PEPR_Agricultura (R$),PEPR_Pecuária (R$),PEPR_Indústria (R$),PEPR_Comércio (R$),PEPR_Serviços (R$),PEPR_total_privado,PE_PLePR
SC-F-4210506-14110-20201105,Maravilha,SC,Sul,09/11/2020,09/11/2020,14110,"4,00",Estiagem e Seca,Climatológico,4210506,"421050605000038, 421050605000039, 421050605000040, 421050605000007, 421050605000005, 421050605000019, 421050605000042, 421050605000041, 421050605000037, 421050605000020, 421050605000001, 421050605000016, 421050605000009, 421050605000008, 421050605000022, 421050605000006, 421050605000021, 421050605000032, 421050605000030, 421050605000043, 421050605000002, 421050605000018, 421050605000017, 421050605000004, 421050605000044, 421050605000023, 421050605000011, 421050605000045, 421050605000015, 421050605000003, 421050605000049, 421050605000014, 421050605000027, 421050605000026, 421050605000050, 421050605000010, 421050605000031, 421050605000052, 421050605000025, 421050605000024, 421050605000013, 421050605000012, 421050605000029, 421050605000048, 421050605000034, 421050605000036, 421050605000035, 421050605000033, 421050605000028, 421050605000047, 421050605000046, 421050605000051",Registro,"No perímetro urbano a situação encontra - se quase normalizada devido as ações do município e da CASAN e com os  73 mm de chuvas que caíram nos últimos dias, porem ainda temos algumas famílias que necessitam do apoio do município com o fornecimento de água potável, famílias estas que se localizam nas partes mais altas do município. Segundo oficio recebido da companhia de água a situação ainda esta em alerta, pois se persistir as condições de falta de chuvas o rodizio para distribuição de água sera retomado. No interior também temos famílias que ainda estão sendo atendidas pelo nosso caminhão pipa, a situação ainda é preocupante pois mesmo com a abertura de novos fonte muitas vezes esta água é impropria para o consumo humano, sendo necessário o tratamento da mesma.",0,0,0,0,0,0,1200,1200,1200,Não se aplica.,0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00","0,00","Devido ao longo período de estiagem que assola nosso município, praticamente 17 meses ou seja, não temos chuvas consideráveis desde junho de 2019, isso tem prejudicado drasticamente nossos rios, riachos, fontes, bem como nossos açudes e principalmente nosso rio Jundiá onde fica localizada a barragem de captação de água que abasteça o perímetro urbano, sendo necessário por parte da companhia responsável pelo fornecimento adotar algumas medidas mais severas como, o rodizio de fornecimento da água, rodizio este que segundo o lauda da própria companhia tem sido assim, 24 X 24, ou seja, vinte e quatro horas com água e vinte e quatro horas sem água, prejudicando praticamente toda a população bem como o comercio e algumas industrias. No interior nossa população também vem sendo prejudicada, pois o exaurimento hídrico de suas fontes de captação tem dificultado o abastecimento dessas famílias, sendo necessário buscar recursos hídricos cada vez mais distante. ",,,,,,"Por não ter campo especifico os valores acima constados como água potável referem-se; dez mil seiscentos e vinte e seis reais($ 10.626,00), referentes á 64,4 horas maquina para a abertura de poços e bebedouros, nas Linhas, Arabutã, Belo Horizonte, Caiapó, Consoladora, Central, Sanga Silva, Nova Brasilia, Tope da Serra, São Paulo, Cabeceira do Iraceminha e Nova Concórdia. Mais, vinte mil e um real com sessenta centavos($ 20.001,60), referem-se á aquisição de água bruta(não tratada), da propriedade do Sr. Ilberto Rintzel, na Linha Araçá, na quantidade de 24 milhões de m³ de água em caráter emergencial, visando assim diminuir o rodizio que vem sendo feito na cidade, sendo assim essa água é bombeada para o reservatório da CASAN para posterior tratamento e distribuição a população. Da empresa Maravilha Irrigações  efetuou-se aquisição de máquinas, equipamentos e mobiliário, como; motor, bomba e demais materiais necessários para a captação de água em açudes, rios e poços, no valor de nove mil oitocentos e vinte dois reais($ 9.822,00).","0,00","89828,20","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","89828,20","Na agricultura a quebra na safra de milho em grãos chega a 35% que representa um valor de 7.307.500,00(sete milhões trezentos e sete mil e quinhentos reais). Na perda de milho para silagem a porcentagem é a mesma, 35% e os prejuízos chegam a 7.575.750,00( sete milhões quinhentos e setenta e cinco mil e setecentos e cinquenta reais). Na cultura do fumo onde as perdas são mais significativas o valor em porcentagem já chega aos 50%, apresentando um prejuízo de 1.215.000,00(um milhão duzentos e quinze mil reais). Na cultura da soja as perdas estão em 30% da produção chegando a um valor de 7.655.679,70(sete milhões seiscentos e cinquenta e cinco mil e seiscentos e setenta e nove reais com setenta centavos). No trigo as perdas chegam em 35%, somando um valor de 1.501.500,00(um milhão quinhentos e um mil e quinhentos reais).
Na pecuária  a produção de leite é a mais afetada devido a falta de um bom pasto bem como a má qualidade da silagem, provocada pela longa estiagem , acarreta até o memento em uma quebra de aproximadamente 18.000.000(dezoito milhões) de litro de leite já deixaram de ser produzidos, isso significa uma quebra de 20% na produção, chegando a um valor de 1.140.000,00(um Milão cento e quarenta mil reais) de prejuízos.","32273458,46","1456785,45","0,00","0,00","0,00","33730243,91","33820072,11"
SC-A-4204202-14110-20031201,Chapecó,SC,Sul,01/12/2003,01/12/2003,14110,"4,00",Estiagem e Seca,Climatológico,4204202,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00","0,00",,,,,,,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,"15812245,53","1540285,39","0,00","0,00","0,00","17352530,92","17352530,92"
PB-F-2514107-14110-20150417,São João do Tigre,PB,Nordeste,22/04/2015,22/04/2015,14110,"4,00",Estiagem e Seca,Climatológico,2514107,,Reconhecido,,0,0,0,0,0,0,0,0,0,,0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00","0,00",,,,,,,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00", ,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
RS-F-4306700-13215-20230101,Dona Francisca,RS,Sul,03/01/2023,01/01/2023,13215,"12,00",Vendavais e Ciclones,Meteorológico,4306700,430670005000001,Registro,"A situação ocorreu no bairro Cohab nas ruas Ernesto Rossi e Guilherme Barchet, com o destelhamento de 19 habitações, afetando 49 pessoas.",0,0,0,0,0,0,0,0,49,"Ocorreu a danificação dos telhados de 19 habitações, onde houve a colocação emergencial de lonas para amenizar e proteger da chuva que ocorria no momento.",0,0,"5850,71",0,20,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00","5850,71",,,,,,,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
SC-A-4206652-14110-20040221,Guatambú,SC,Sul,21/02/2004,21/02/2004,14110,"4,00",Estiagem e Seca,Climatológico,4206652,,Reconhecido,,0,0,0,0,0,0,0,0,0,,0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00","0,00",,,,,,,,"0,00","903677,87","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","903677,87",,"14414927,21","5136505,03","0,00","0,00","0,00","19551432,24","20455110,11"
SC-P-4212239-13213-19950924,Paraíso,SC,Sul,24/09/1995,24/09/1995,13213,"5,00",Granizo,Meteorológico,4212239,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00","0,00",,,,,,,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
PE-A-2601706-14110-20080102,Belo Jardim,PE,Nordeste,02/01/2008,02/01/2008,14110,"4,00",Estiagem e Seca,Climatológico,2601706,,Reconhecido,,0,0,0,0,0,0,0,0,0,,0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00","0,00",,,,,,,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,"2455266,47","1695303,04","0,00","0,00","0,00","4150569,52","4150569,52"
RS-F-4318457-14110-20211222,São José das Missões,RS,Sul,23/12/2021,23/12/2021,14110,"4,00",Estiagem e Seca,Climatológico,4318457,"431845705000002, 431845705000008, 431845705000009, 431845705000001, 431845705000003, 431845705000004, 431845705000005, 431845705000007, 431845705000006",Reconhecido,"Conforme laudos das Secretarias de Obras e Assistência Social, toda a área rural e urbana do município de São José das Missões, afetando 2.720 pessoas. ",0,0,0,0,0,0,2720,2720,2720,,0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00","0,00","Conforme laudos da Secretaria de Obras e da Secretaria da Assistência Social, toda a população, de toda área urbana e rural do município de São José das Missões, afetado por Estiagem.",,,,,,"Conforme laudo da Secretaria de Obras, até o presente momento foi gasto R$ 54.342,50 em água potável para a população afetada.","0,00","58981,40","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","58981,40","Devido a estiagem, as culturas de: soja, milho, milho silagem e a produção leiteira foi prejudicada, conforme laudo da EMATER/RS, bem como a produção
de subsistência de agricultores.
","20134048,72","4686559,23","0,00","0,00","0,00","24820607,95","24879589,35"
AM-A-1301100-12100-20090409,Careiro,AM,Norte,09/04/2009,09/04/2009,12100,"7,00",Inundações,Hidrológico,1301100,,Reconhecido,,2,0,0,90,148,0,0,240,16000,,0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00","0,00",,,,,,,,"2719077,27","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","196008,11","2915085,38",,"1942289,13","0,00","0,00","0,00","0,00","1942289,13","4857374,51"
TO-F-1709005-12100-20220105,Goiatins,TO,Norte,12/01/2022,05/01/2022,12100,"7,00",Inundações,Hidrológico,1709005,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00","0,00",,,,,,,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
RN-F-2400901-14120-20130402,Antônio Martins,RN,Nordeste,02/04/2013,02/04/2013,14120,"4,00",Estiagem e Seca,Climatológico,2400901,,Reconhecido,,0,0,0,0,0,0,0,0,0,,0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00","0,00",,,,,,,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
AL-F-2702355-14110-20240717,Craíbas,AL,Nordeste,08/08/2024,17/07/2024,14110,"4,00",Estiagem e Seca,Climatológico,2702355,"270235505000006, 270235505000026, 270235505000019, 270235505000018, 270235505000016, 270235505000020, 270235505000015, 270235505000014",Registro,"A população da zona Rural de Craíbas, quase que em sua totalidade esta sofrendo em função da falta de água potável para o consumo humano. As pessoas estão buscando água em barragens e barreiros com pouca água, fato que torna a água impropria para utilização humana. o baixo nível da água nas barragens e barreiros e sua má qualidade, podem ser comprovados em fotografias e laudos de potabilidade anexadas posteriormente.  ",0,0,0,0,0,0,4023,4023,4023,,0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00","0,00",A zona Rural de Craíbas apresenta exaurimento Hídrico. Essa escassez de água nos reservatórios que atendem a demanda humana e de animais tem causado prejuízos econômicos no município de Craíbas.,,,,MAIS DE 20% DA POPULAÇÃO AFETADA,,"Este montante informado foi gasto com combustível, pagamento de água e outros gastos com carros pipas próprios e locações de outros carros pipas para transporte de água potável.","0,00","800000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","800000,00","Pagamento pelo transporte de água para o consumo direto dos animais e higienização de estábulos, baias, chiqueiros e limpeza de utensílios utilizados para a produção nas propriedades rurais.","0,00","500000,00","0,00","0,00","0,00","500000,00","1300000,00"
RS-F-4318432-14110-20220103,São João do Polêsine,RS,Sul,12/01/2022,03/01/2022,14110,"4,00",Estiagem e Seca,Climatológico,4318432,"431843205000001, 431843205000002, 431843205000003, 431843205000004, 431843225000001, 431843225000002, 431843230000001, 431843230000002",Reconhecido,Toda a população está sendo afetada e até o momento 32 famílias (110 pessoas) estão sendo assistidas pelo poder público com a distribuição de água.,0,0,0,0,0,0,2635,2635,2635,,0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00","0,00","- Em função da baixa precipitação de chuva, observada no município nos últimos anos, os cursos d'água, mananciais e fontes estão diminuindo e até exaurindo pela falta de reposição.",,,,,MAIS DE 20%,"Conforme relatório (anexo), são despesas com abastecimento (transporte) de água potável às famílias atingidas","0,00","12400,78","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","12400,78","Conforme laudo produzido pela EMATER (anexo), devido a estiagem já foram afetadas as culturas do soja, arroz, banana, milho sequeiro, milho silagem (contabilizado na pecuária) e a pecuária leiteira e de corte. ","8739450,60","673382,82","0,00","0,00","0,00","9412833,42","9425234,20"
